N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.25	iSLIP	2.51629	1.32143	0.0211	0.0844	0	0
5	0.25	iSLIP	2.57572	1.42191	0.016904	0.08452	0	0
6	0.25	iSLIP	2.55626	1.42033	0.0136778	0.0820667	0	0
7	0.25	iSLIP	2.52837	1.33585	0.012051	0.0843571	0	0
8	0.25	iSLIP	2.56096	1.43757	0.0104703	0.0837625	0	0
9	0.25	iSLIP	2.61629	1.521	0.00936914	0.0843222	0	0
10	0.25	iSLIP	2.68743	1.63679	0.008427	0.08427	0	0
11	0.25	iSLIP	2.59301	1.49542	0.00752149	0.0827364	0	0
12	0.25	iSLIP	2.61988	1.50233	0.00702083	0.08425	0	0
13	0.25	iSLIP	2.65754	1.60795	0.00646036	0.0839846	0	0
14	0.25	iSLIP	2.67459	1.5851	0.00590612	0.0826857	0	0
15	0.25	iSLIP	2.6418	1.58303	0.00556978	0.0835467	0	0
16	0.25	iSLIP	2.68358	1.66561	0.00524922	0.0839875	0	0
17	0.25	iSLIP	2.65641	1.62667	0.00485813	0.0825882	0	0
18	0.25	iSLIP	2.67911	1.65181	0.00462346	0.0832222	2.77778e-06	0
19	0.25	iSLIP	2.63669	1.52418	0.00438033	0.0832263	0	0
20	0.25	iSLIP	2.64183	1.57208	0.004167	0.08334	0	0
21	0.25	iSLIP	2.66672	1.63573	0.00395782	0.0831143	0	0
22	0.25	iSLIP	2.65435	1.60778	0.003825	0.08415	0	0
23	0.25	iSLIP	2.66399	1.616	0.00361966	0.0832522	2.17391e-06	0
24	0.25	iSLIP	2.70671	1.64714	0.00350729	0.084175	0	0
25	0.25	iSLIP	2.67025	1.6359	0.0033072	0.08268	0	1.20012e-05
26	0.25	iSLIP	2.64715	1.59099	0.00321553	0.0836038	0	0
27	0.25	iSLIP	2.66567	1.59543	0.00308052	0.0831741	0	0
28	0.25	iSLIP	2.67384	1.62767	0.00297959	0.0834286	0	0
29	0.25	iSLIP	2.66448	1.60715	0.00288549	0.0836793	1.72414e-06	0
30	0.25	iSLIP	2.69219	1.68655	0.00279067	0.08372	0	0
31	0.25	iSLIP	2.68806	1.64488	0.00268637	0.0832774	0	0
32	0.25	iSLIP	2.68035	1.6355	0.00261426	0.0836563	0	0
33	0.25	iSLIP	2.65384	1.60645	0.00252672	0.0833818	0	0
34	0.25	iSLIP	2.68565	1.65056	0.00245303	0.0834029	0	0
35	0.25	iSLIP	2.71605	1.70464	0.00238041	0.0833143	0	8.57229e-06
36	0.25	iSLIP	2.67662	1.66099	0.00231474	0.0833306	2.77778e-06	0
37	0.25	iSLIP	2.67429	1.65158	0.00225771	0.0835351	0	0
38	0.25	iSLIP	2.67995	1.6558	0.0021865	0.0830868	0	0
39	0.25	iSLIP	2.7123	1.72382	0.00213051	0.0830897	1.28205e-06	0
40	0.25	iSLIP	2.67442	1.64478	0.00207706	0.0830825	2.5e-06	0
41	0.25	iSLIP	2.67983	1.6333	0.00203974	0.0836293	0	0
42	0.25	iSLIP	2.68171	1.62979	0.00198804	0.0834976	0	0
43	0.25	iSLIP	2.68346	1.64716	0.00193169	0.0830628	0	0
44	0.25	iSLIP	2.69123	1.65344	0.00189385	0.0833295	0	0
45	0.25	iSLIP	2.68901	1.65025	0.00186183	0.0837822	0	6.66733e-06
46	0.25	iSLIP	2.66836	1.63516	0.00180222	0.0829022	0	6.52239e-06
47	0.25	iSLIP	2.68939	1.67753	0.00177356	0.0833574	0	0
48	0.25	iSLIP	2.69263	1.67654	0.00173177	0.083125	0	0
49	0.25	iSLIP	2.70326	1.65115	0.00169763	0.0831837	0	0
50	0.25	iSLIP	2.69864	1.67502	0.00165836	0.082918	0	0
51	0.25	iSLIP	2.68273	1.64173	0.00163433	0.083351	0	0
52	0.25	iSLIP	2.705	1.69179	0.00160991	0.0837154	0	0
