N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	INQ	4.52128	3.67581	0.041125	0.1645	0.001375	0
5	0.5	INQ	4.79322	3.94269	0.032904	0.16452	0.00194	0
6	0.5	INQ	4.95302	4.16596	0.0273139	0.163883	0.00190833	0
7	0.5	INQ	4.76743	3.95587	0.0232449	0.162714	0.00162143	0
8	0.5	INQ	4.99193	4.12244	0.0203219	0.162575	0.00175625	0
9	0.5	INQ	4.92017	4.0873	0.0180012	0.162011	0.00190556	0
10	0.5	INQ	5.13536	4.41205	0.01629	0.1629	0.00235	0
11	0.5	INQ	5.00594	4.27604	0.0146124	0.160736	0.00209545	2.72755e-05
12	0.5	INQ	5.40203	4.6004	0.0134424	0.161308	0.00259583	7.50075e-05
13	0.5	INQ	5.4397	4.74832	0.0123982	0.161177	0.00269615	4.61585e-05
14	0.5	INQ	5.25722	4.49793	0.011574	0.162036	0.00231429	8.57229e-05
15	0.5	INQ	5.37073	4.57421	0.0107644	0.161467	0.00268667	0
16	0.5	INQ	5.33852	4.56954	0.0101223	0.161956	0.0025875	1.87519e-05
17	0.5	INQ	5.40698	4.6309	0.0094782	0.161129	0.00272059	0.000123542
18	0.5	INQ	5.49352	4.738	0.00898302	0.161694	0.0028	5.0005e-05
19	0.5	INQ	5.54786	4.84422	0.00849446	0.161395	0.00301053	6.31642e-05
20	0.5	INQ	5.3678	4.59499	0.0080425	0.16085	0.002555	1.50015e-05
21	0.5	INQ	5.34236	4.62009	0.00769955	0.16169	0.00252381	5.71486e-05
22	0.5	INQ	5.53007	4.78864	0.00733058	0.161273	0.00280227	0
23	0.5	INQ	5.5866	4.83213	0.00700038	0.161009	0.00293913	6.52239e-05
24	0.5	INQ	5.49476	4.77722	0.00667517	0.160204	0.0028375	1.25013e-05
25	0.5	INQ	5.62163	4.97992	0.00642128	0.160532	0.003096	0.000156016
26	0.5	INQ	5.61907	4.83403	0.00620296	0.161277	0.00292308	3.46188e-05
27	0.5	INQ	5.50946	4.79494	0.00596214	0.160978	0.00290741	0
28	0.5	INQ	5.52611	4.8048	0.00571824	0.160111	0.00291786	5.35768e-05
29	0.5	INQ	5.66056	5.01275	0.00554174	0.16071	0.00311207	0.000186226
30	0.5	INQ	5.50344	4.8304	0.00536378	0.160913	0.002865	9.0009e-05
31	0.5	INQ	5.62698	4.97368	0.00518668	0.160787	0.00304194	0.000280673
32	0.5	INQ	5.56497	4.87602	0.0050207	0.160663	0.00297188	9.37594e-05
33	0.5	INQ	5.54765	4.94892	0.00487989	0.161036	0.00296364	0.000236387
34	0.5	INQ	5.57365	4.89715	0.00473521	0.160997	0.00300735	0.000141191
35	0.5	INQ	5.6022	4.99295	0.00458237	0.160383	0.00304571	0.000291458
36	0.5	INQ	5.5334	4.8791	0.00446034	0.160572	0.00289167	0.000150015
37	0.5	INQ	5.6361	5.0335	0.00433419	0.160365	0.00312027	0.000291921
38	0.5	INQ	5.69985	4.9787	0.00422251	0.160455	0.00314342	7.10597e-05
39	0.5	INQ	5.58316	4.8961	0.00410066	0.159926	0.00304103	6.92377e-05
40	0.5	INQ	5.57137	4.82583	0.00400944	0.160378	0.00297875	6.0006e-05
41	0.5	INQ	5.67496	4.97223	0.00391166	0.160378	0.00304146	0.00016831
42	0.5	INQ	5.66893	5.02479	0.00383237	0.16096	0.00322857	0.000114297
43	0.5	INQ	5.65082	4.9339	0.0037298	0.160381	0.00304651	4.88421e-05
44	0.5	INQ	5.62125	4.90487	0.00363321	0.159861	0.00298523	0.000184109
