N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.5	KOUQ	3.13881	1.92539	0.0418	0.16695	0.000125	0
5	0.5	KOUQ	3.22287	2.03402	0.033672	0.1679	0.00023	0
6	0.5	KOUQ	3.26958	2.08928	0.0278833	0.166867	0.000208333	0
7	0.5	KOUQ	3.25814	2.03759	0.0236939	0.165414	0.000214286	0
8	0.5	KOUQ	3.28008	2.07264	0.0208641	0.166425	0.0002375	0
9	0.5	KOUQ	3.28485	2.10895	0.0184901	0.165778	0.000305556	0
10	0.5	KOUQ	3.31442	2.11386	0.016767	0.16707	0.000295	0
11	0.5	KOUQ	3.28552	2.10669	0.0149504	0.163845	0.000290909	0
12	0.5	KOUQ	3.29573	2.10231	0.0138722	0.165775	0.000325	0
13	0.5	KOUQ	3.3447	2.13845	0.0128692	0.166654	0.000292308	0
14	0.5	KOUQ	3.31518	2.09659	0.0118719	0.165621	0.000271429	0
15	0.5	KOUQ	3.30861	2.1208	0.011084	0.165627	0.000313333	2.0002e-05
16	0.5	KOUQ	3.30836	2.11544	0.0104453	0.166525	0.000290625	0
17	0.5	KOUQ	3.31597	2.11776	0.00982353	0.166376	0.0003	0
18	0.5	KOUQ	3.35824	2.15742	0.00929722	0.166711	0.000305556	0
19	0.5	KOUQ	3.33908	2.12152	0.00879861	0.166611	0.000265789	0
20	0.5	KOUQ	3.31217	2.11186	0.008302	0.16539	0.00031	0
21	0.5	KOUQ	3.32726	2.10762	0.00794036	0.166229	0.000245238	0
22	0.5	KOUQ	3.38055	2.16246	0.0075938	0.166386	0.000318182	0
23	0.5	KOUQ	3.33489	2.14123	0.00721626	0.165261	0.000347826	0
24	0.5	KOUQ	3.38327	2.18413	0.00695087	0.166246	0.00028125	0
25	0.5	KOUQ	3.37359	2.17801	0.00668656	0.166452	0.000346	0
26	0.5	KOUQ	3.36361	2.154	0.00641583	0.166154	0.000319231	0
27	0.5	KOUQ	3.36547	2.1624	0.006169	0.165926	0.000307407	0
28	0.5	KOUQ	3.34922	2.1444	0.00592997	0.16535	0.000330357	0
29	0.5	KOUQ	3.38211	2.18237	0.0057654	0.166507	0.000336207	0
30	0.5	KOUQ	3.35487	2.15094	0.00556533	0.166267	0.000335	0
31	0.5	KOUQ	3.35737	2.15553	0.00537721	0.166026	0.000327419	0
32	0.5	KOUQ	3.37917	2.17688	0.00522803	0.166587	0.000340625	0
33	0.5	KOUQ	3.34814	2.13212	0.00503104	0.1654	0.0003	0
34	0.5	KOUQ	3.37076	2.16117	0.00493218	0.166988	0.000345588	0
35	0.5	KOUQ	3.35845	2.14406	0.00473461	0.165037	0.000324286	0
36	0.5	KOUQ	3.35678	2.16004	0.00461775	0.165478	0.000370833	0
37	0.5	KOUQ	3.35808	2.16415	0.00448503	0.165257	0.000332432	0
38	0.5	KOUQ	3.38981	2.18814	0.00438989	0.166118	0.000340789	0
39	0.5	KOUQ	3.36481	2.15879	0.00426654	0.165715	0.000323077	0
40	0.5	KOUQ	3.3477	2.15664	0.00415325	0.165387	0.00036125	0
41	0.5	KOUQ	3.37335	2.17201	0.00407216	0.166246	0.000346341	7.3178e-06
42	0.5	KOUQ	3.36333	2.16079	0.0039559	0.165471	0.000329762	0
43	0.5	KOUQ	3.35109	2.14866	0.00387301	0.165835	0.000348837	0
44	0.5	KOUQ	3.34613	2.14754	0.00376699	0.165105	0.000309091	0
45	0.5	KOUQ	3.37693	2.17729	0.00371235	0.166433	0.000302222	0
46	0.5	KOUQ	3.37884	2.17134	0.00363157	0.16633	0.000348913	0
47	0.5	KOUQ	3.37088	2.16557	0.00354142	0.165781	0.00032766	6.38362e-06
48	0.5	KOUQ	3.3753	2.1784	0.00346749	0.165669	0.000378125	0
49	0.5	KOUQ	3.37869	2.16918	0.00340208	0.166045	0.000319388	0
50	0.5	KOUQ	3.37779	2.17885	0.0033252	0.165548	0.000342	0
51	0.5	KOUQ	3.35781	2.15769	0.00326105	0.165643	0.000326471	0
52	0.5	KOUQ	3.38201	2.17707	0.00321087	0.16625	0.000342308	5.76981e-06
53	0.5	KOUQ	3.37445	2.17415	0.00315493	0.166453	0.000368868	0
54	0.5	KOUQ	3.37749	2.17796	0.00308296	0.165728	0.000363889	0
55	0.5	KOUQ	3.39763	2.19446	0.00304228	0.166587	0.000356364	0
56	0.5	KOUQ	3.38402	2.18364	0.00297669	0.165961	0.000355357	0
57	0.5	KOUQ	3.37382	2.16384	0.00292607	0.166118	0.000318421	0
58	0.5	KOUQ	3.37105	2.16669	0.00287901	0.166284	0.000334483	0
59	0.5	KOUQ	3.36655	2.16282	0.00282068	0.16569	0.000349153	5.08525e-06
60	0.5	KOUQ	3.37755	2.16605	0.00278281	0.16623	0.000355833	0
61	0.5	KOUQ	3.39567	2.18342	0.00273115	0.16597	0.000308197	0
62	0.5	KOUQ	3.38314	2.16912	0.00268395	0.165685	0.000347581	0
63	0.5	KOUQ	3.3841	2.18128	0.00264996	0.166221	0.000344444	0
64	0.5	KOUQ	3.36978	2.15876	0.00260352	0.165978	0.0003125	0
65	0.5	KOUQ	3.37915	2.1723	0.00257011	0.166309	0.000363846	4.61585e-06
66	0.5	KOUQ	3.36976	2.1664	0.00251781	0.165483	0.000334091	0
67	0.5	KOUQ	3.37066	2.1695	0.00248891	0.166063	0.000339552	0
68	0.5	KOUQ	3.36412	2.15801	0.00245301	0.16606	0.000358088	0
69	0.5	KOUQ	3.36582	2.1596	0.00241	0.165628	0.000318841	0
